state_usps,votes_dem,votes_rep,votes_other,votes_total
AK,156245,166049,13010,335304
AL,518197,1508754,242580,2269531
AR,358675,764263,21673,1144611
AZ,1188888,1408185,827119,3424192
CA,9131723,5918309,44450,15094482
CO,1667301,1306086,100004,3073391
CT,1963524,1366178,74126,3403828
DC,519201,44805,90012,654018
DE,575660,419212,0,994872
FL,4339733,5975436,384830,10699999
GA,2434973,2702111,10271,5147355
HI,330488,139844,8434,478766
IA,696033,904563,9013,1609609
ID,244885,581168,91547,917600
IL,2829169,2517389,360558,5707116
IN,1155643,1750441,104400,3010484
KS,526137,749352,30166,1305655
KY,511997,1392352,1182,1905531
LA,330804,622155,4429,957388
MA,2386143,304460,822327,3512930
MD,1863416,1017654,54258,2935328
ME,441119,348199,882490,1671808
MI,2634240,2702666,179991,5516897
MN,1579742,1550499,16521,3146762
MO,1125671,1711050,88142,2924863
MS,350352,812799,0,1163151
MT,237463,350273,9954,597690
NC,2349209,2889741,243224,5482174
ND,109231,249101,1455,359787
NE,338154,591238,0,929392
NH,430218,373746,27022,830986
NJ,1598779,1466164,2637333,5702276
NM,493674,402756,0,896430
NV,534050,692509,200186,1426745
NY,4394181,3050234,841882,8286297
OH,2382078,3104290,84383,5570751
OK,795712,1669106,99394,2564212
OR,674519,696368,1090978,2461865
PA,3336307,3480992,0,6817299
RI,585582,360246,23368,969196
SC,964448,1475329,35127,2474904
SD,117818,303630,0,421448
TN,977870,1884691,64394,2926955
TX,4311127,6235488,129207,10675822
UT,470895,908939,148598,1528432
VA,2274922,2108450,42390,4425762
VT,218398,0,527372,745770
WA,2154848,1589634,19640,3764122
WI,1784546,1943863,20628,3749037
WV,200813,496681,25616,723110
WY,60778,184680,25665,271123
